,GameId,Year,Round,Date,MaxTemp,MinTemp,Rainfall,Venue,StartTime,Attendance,HomeTeam,HomeTeamScoreQT,HomeTeamScoreHT,HomeTeamScore3QT,HomeTeamScoreFT,HomeTeamScore,AwayTeam,AwayTeamScoreQT,AwayTeamScoreHT,AwayTeamScore3QT,AwayTeamScoreFT,AwayTeamScore,longitude,latitude
47,2012R0603,2012,R6,5/5/2012,15.5,8.6,0.0,Kardinia Park,1:45 pm,"18,010",Geelong,3.5,9.11,15.14,17.17,119,Melbourne,3.0,6.1,10.5,11.1,76,117.797531,-22.69459
48,2012R0604,2012,R6,5/5/2012,23.3,14.9,0.0,Carrara,4:40 pm,"11,670",Gold Coast,3.1,8.2,10.2,14.3,87,Fremantle,3.0,5.3,10.7,14.1,94,153.35075,-28.00514
49,2012R0605,2012,R6,5/5/2012,18.9,11.4,0.0,S.C.G.,7:40 pm,"23,969",Sydney,1.2,7.6,12.7,14.1,94,Adelaide,5.2,8.3,11.6,15.9,99,149.11195,-35.24852
50,2012R0606,2012,R6,5/5/2012,13.3,7.4,0.0,M.C.G.,7:40 pm,"42,290",St Kilda,3.2,7.3,12.7,13.1,88,Hawthorn,3.6,8.9,13.11,18.15,123,144.983032,-37.818439
51,2012R0607,2012,R6,6/5/2012,15.6,8.9,1.6,Docklands,1:10 pm,"28,213",Carlton,3.5,6.8,9.14,15.2,110,Greater Western Sydney,2.1,5.4,6.7,6.7,43,144.94846,-37.81835
52,2012R0608,2012,R6,6/5/2012,18.5,11.4,0.0,Football Park,2:45 pm,"18,522",Port Adelaide,1.2,2.2,6.4,8.6,54,Richmond,3.2,8.7,9.1,13.13,91,149.11195,-35.24852
53,2012R0609,2012,R6,6/5/2012,20.5,14.8,10.4,Subiaco,2:40 pm,"37,202",West Coast,4.4,7.1,12.15,17.18,120,North Melbourne,4.0,7.2,12.2,15.5,95,115.82576,-31.94447
54,2012R0701,2012,R7,11/5/2012,17.0,9.4,1.8,M.C.G.,7:50 pm,"36,430",Melbourne,3.3,3.5,5.11,6.13,49,Hawthorn,2.6,8.12,10.18,15.25,115,144.983032,-37.818439
55,2012R0702,2012,R7,12/5/2012,17.0,6.8,0.0,Football Park,12:45 pm,"35,535",Adelaide,6.3,14.5,17.7,19.8,122,Geelong,3.2,4.2,6.8,10.12,72,149.11195,-35.24852
56,2012R0703,2012,R7,12/5/2012,14.4,0.1,0.0,Manuka Oval,1:40 pm,"8,603",Greater Western Sydney,4.2,5.8,8.13,13.16,94,Gold Coast,1.3,7.9,9.11,9.13,67,149.1367,-35.31863
57,2012R0704,2012,R7,12/5/2012,15.5,7.1,0.2,M.C.G.,4:40 pm,"40,352",Richmond,5.6,7.9,8.11,13.13,91,Sydney,0.2,2.7,6.9,8.14,62,144.983032,-37.818439
58,2012R0705,2012,R7,12/5/2012,27.2,13.4,0.0,Gabba,7:40 pm,"27,926",Brisbane Lions,2.1,3.7,7.9,8.1,58,Collingwood,6.4,9.7,12.12,17.14,116,145.6925,-36.2155
59,2012R0706,2012,R7,12/5/2012,15.5,7.1,0.2,Docklands,7:40 pm,"43,260",Essendon,1.6,5.1,12.14,16.17,113,West Coast,1.3,3.5,3.7,7.1,52,144.94846,-37.81835
60,2012R0707,2012,R7,13/5/2012,13.2,9.1,3.6,Docklands,1:10 pm,"20,885",North Melbourne,3.1,6.5,11.8,12.11,83,Western Bulldogs,3.3,9.6,14.8,15.11,101,144.94846,-37.81835
61,2012R0708,2012,R7,13/5/2012,22.9,11.4,0.0,Subiaco,2:40 pm,"30,079",Fremantle,2.8,6.9,8.14,12.15,87,Port Adelaide,3.2,3.4,6.4,7.5,47,115.82576,-31.94447
62,2012R0709,2012,R7,14/5/2012,15.8,6.8,6.2,Docklands,7:40 pm,"38,823",St Kilda,5.3,11.5,16.6,19.8,122,Carlton,5.1,8.6,12.1,14.14,98,144.94846,-37.81835
